Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS256D	MSP430F112	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F133	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F135	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F147	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F1471	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F148	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F1481	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F149	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS272H	MSP430F1491	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS312C	MSP430F122	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS312C	MSP430F123	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS361D	MSP430F1122	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS361D	MSP430F1132	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS361D	MSP430F1222	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS361D	MSP430F1232	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F155	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F156	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F157	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F1610	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F1611	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F1612	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F167	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F168	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS368G	MSP430F169	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS439F	MSP430F2101	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2111	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2121	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2131	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS491I	MSP430F2001	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2002	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2003	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2011	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2012	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2013	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2232	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2234	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2252	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2254	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2272	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2274	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS518E	MSP430F2330	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS518E	MSP430F2350	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS518E	MSP430F2370	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2416	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2417	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2418	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2419	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2616	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2617	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2618	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2619	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F233	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F235	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F2410	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F247	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F2471	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F248	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F2481	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F249	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS547I	MSP430F2491	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS578J	MSP430F2112	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS578J	MSP430F2122	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS578J	MSP430F2132	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS694J	MSP430G2121	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS694J	MSP430G2131	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS694J	MSP430G2221	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS694J	MSP430G2231	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS695I	MSP430G2001	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS695I	MSP430G2101	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS695I	MSP430G2111	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS695I	MSP430G2201	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS695I	MSP430G2211	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10	20	1	15
SLAS701B	MSP430AFE221	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE222	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE223	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE231	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE232	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE233	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE251	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE252	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS701B	MSP430AFE253	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819		10	20	1	15
SLAS722G	MSP430G2112	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2152	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2212	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2252	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2312	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2352	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2412	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2452	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2102	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2132	SLAU144	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5		20	1	15
